linux_x86-3.18;linux-3.18.5;commit;f7ab9b407b3bc83161c2aa74c992ba4782e87c9c;drivers/gpu/drm/i915/i915_dma.c;DRM_I915 && SHMEM && !TMPFS;3;1
linux_x86-3.18;linux-3.18.5;commit;6252547b8a7acced581b649af4ebf6d65f63a34b;drivers/base/dd.c;I2C && TWL4030_CORE && IRQ_DOMAIN && !OF_IRQ;4;1
linux_x86-3.18;linux-3.18.5;commit;eb91f1d0a531289e18f5587dc197d12a251c66a3;init/main.c;DEBUG_SLAB && LOCKDEP && TRACE_IRQFLAGS && PROVE_LOCKING && NUMA;5;1
linux_x86-3.14;linux-3.18.5;release;linux-3.14.6;kernel/sched/proc.c;NO_HZ_COMMON;1;1
linux_x86-3.14;linux-3.18.5;release;linux-3.14.6;kernel/sched/rt.c;SCHED_DEBUG;1;1
jhipster_3-6-1;jhipster_3-6-1;;;;MongoDB && SocialLogin;;
jhipster_3-6-1;jhipster_3-6-1;;;;MariaDB && Gradle;;
jhipster_3-6-1;jhipster_3-6-1;;;;Docker && Uaa && (MicroserviceGateway || MicroserviceApplication);;
jhipster_3-6-1;jhipster_3-6-1;;;;Uaa && (MicroserviceGateway || MicroserviceApplication) && !Docker;;
jhipster_3-6-1;jhipster_3-6-1;;;;MariaDB && Monolithic && Docker && ElasticSearch;;
